episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
12,,,193.0,57.0,,,,,577.56,56.72,20.95,0.65,106.0,0.2,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.772
13,,,176.0,74.0,,,,,563.26,41.3,37.91,0.65,106.0,0.3,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.704
14,,,230.0,20.0,,,,,553.14,46.22,16.26,0.74,106.0,0.5,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.92
15,,,206.0,44.0,,,,,537.63,42.69,25.66,0.59,106.09,0.41,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.824
16,,,233.0,17.0,,,,,520.96,45.0,17.25,0.57,132.36,0.37,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.932
17,,,245.0,5.0,,,,,515.31,45.98,21.64,0.47,106.0,0.28,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.98
18,,,218.0,32.0,,,,,520.82,42.63,29.93,0.51,109.59,0.36,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.872
19,,,226.0,24.0,,,,,534.44,42.07,20.08,0.22,106.0,0.36,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.904
20,,,247.0,3.0,,,,,522.44,40.79,27.59,0.54,106.24,0.26,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.988
21,,,233.0,17.0,,,,,592.45,18.41,31.75,0.48,67.73,0.27,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.932
22,,,207.0,43.0,,,,,577.35,21.98,21.09,0.35,65.5,1.06,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.828
23,,,223.0,27.0,,,,,592.9,21.05,23.64,0.24,66.66,0.71,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.892
24,,,217.0,33.0,,,,,582.45,18.29,34.6,0.53,71.16,0.38,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.868
25,,,250.0,0.0,,,,,586.85,20.83,34.72,0.6,67.07,0.33,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,1.0
26,,,247.0,3.0,,,,,581.77,18.86,34.48,0.82,65.77,0.51,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.988
27,,,221.0,29.0,,,,,572.7,17.91,28.87,0.37,65.5,0.35,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.884
28,,,197.0,53.0,,,,,578.2,17.73,35.2,0.6,65.59,0.45,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.788
29,,,186.0,64.0,,,,,581.5,17.45,32.59,0.71,67.99,0.25,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.744
30,,,247.0,3.0,,,,,587.46,19.74,29.67,0.6,67.6,0.26,GeoPQL_c8_r6,GeoPQL,8,6,c8_r6,0.988
1,,,149.0,101.0,,,,,516.46,13.75,30.47,0.66,96.65,0.27,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.596
2,,,191.0,59.0,,,,,479.79,32.26,21.85,0.55,96.78,0.38,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.764
3,,,170.0,80.0,,,,,430.24,32.04,23.48,0.53,96.6,0.39,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.68
4,,,71.0,179.0,,,,,434.79,35.81,41.17,0.76,96.5,0.26,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.284
5,,,135.0,115.0,,,,,446.79,36.83,22.22,0.78,98.08,0.23,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.54
6,,,155.0,95.0,,,,,458.3,34.56,29.43,0.63,96.61,0.3,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.62
7,,,191.0,59.0,,,,,439.77,39.64,15.63,0.74,106.56,0.26,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.764
8,,,170.0,80.0,,,,,418.46,39.03,21.09,0.34,96.64,0.33,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.68
9,,,212.0,38.0,,,,,400.23,40.85,23.68,0.67,98.08,0.29,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.848
10,,,199.0,51.0,,,,,407.45,43.57,19.21,0.71,107.19,0.21,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.796
11,,,214.0,36.0,,,,,400.87,4.1,40.92,0.68,45.02,0.24,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.856
12,,,229.0,21.0,,,,,467.83,8.83,40.24,0.72,45.0,0.25,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.916
13,,,220.0,30.0,,,,,433.94,7.52,30.66,0.33,44.36,0.38,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.88
14,,,206.0,44.0,,,,,434.22,7.27,34.51,0.35,45.03,0.3,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.824
15,,,210.0,40.0,,,,,441.44,6.66,38.05,0.55,44.0,0.25,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.84
16,,,210.0,40.0,,,,,441.08,7.55,31.77,0.31,44.11,0.33,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.84
17,,,200.0,50.0,,,,,475.3,8.63,35.27,0.69,46.18,0.25,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.8
18,,,207.0,43.0,,,,,466.34,9.75,39.55,0.69,44.14,0.26,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.828
19,,,206.0,44.0,,,,,465.13,9.13,36.88,0.73,45.44,0.25,GeoPQL_c8_r8,GeoPQL,8,8,c8_r8,0.824
